,Accuracy,Precision,Recall,F1-Score,Participant
0,0.7857142857142857,0.6666666666666666,0.5,0.5714285714285715,1
1,0.9285714285714286,0.6666666666666666,1.0,0.8,2
2,0.9285714285714286,1.0,0.6666666666666666,0.8,3
3,0.8571428571428571,1.0,0.6666666666666666,0.8,4
4,0.7142857142857143,0.6666666666666666,0.4,0.5,5
5,0.9285714285714286,1.0,0.6666666666666666,0.8,6
6,0.6428571428571429,1.0,0.16666666666666666,0.2857142857142857,7
7,0.7857142857142857,0.8,0.6666666666666666,0.7272727272727272,8
8,1.0,1.0,1.0,1.0,12
9,0.8,0.5,0.3333333333333333,0.4,13
10,0.8571428571428571,0.6666666666666666,1.0,0.8,14
11,0.5714285714285714,0.3333333333333333,0.2,0.25,17
12,0.8571428571428571,0.6666666666666666,1.0,0.8,20
13,0.7857142857142857,0.6,0.75,0.6666666666666665,21
14,0.9333333333333333,1.0,0.8,0.888888888888889,22
15,1.0,1.0,1.0,1.0,23
16,0.8461538461538461,1.0,0.6,0.7499999999999999,24
17,0.8461538461538461,0.5,0.5,0.5,25
18,0.7142857142857143,1.0,0.42857142857142855,0.6,26
19,0.8461538461538461,1.0,0.5,0.6666666666666666,28
20,0.8571428571428571,1.0,0.5,0.6666666666666666,29
21,0.8571428571428571,0.6,1.0,0.7499999999999999,30
22,0.7692307692307693,1.0,0.4,0.5714285714285715,31
23,0.8461538461538461,1.0,0.3333333333333333,0.5,32
24,0.7857142857142857,0.6,0.75,0.6666666666666665,33
