,Accuracy,Precision,Recall,F1-Score,Participant
0,0.7857142857142857,0.6666666666666666,0.5,0.5714285714285715,1
1,0.9285714285714286,0.6666666666666666,1.0,0.8,2
2,1.0,1.0,1.0,1.0,3
3,0.7857142857142857,1.0,0.5,0.6666666666666666,4
4,0.7142857142857143,0.6666666666666666,0.4,0.5,5
5,0.9285714285714286,1.0,0.6666666666666666,0.8,6
6,0.7142857142857143,1.0,0.3333333333333333,0.5,7
7,0.7857142857142857,0.8,0.6666666666666666,0.7272727272727272,8
8,0.9230769230769231,1.0,0.8,0.888888888888889,12
9,0.8,0.5,0.3333333333333333,0.4,13
10,0.6428571428571429,0.4,0.5,0.4444444444444445,14
11,0.6428571428571429,0.5,0.4,0.4444444444444445,17
12,0.7857142857142857,0.6,0.75,0.6666666666666665,20
13,0.7142857142857143,0.5,0.75,0.6,21
14,0.9333333333333333,1.0,0.8,0.888888888888889,22
15,1.0,1.0,1.0,1.0,23
16,0.7692307692307693,0.75,0.6,0.6666666666666665,24
17,0.6923076923076923,0.25,0.5,0.3333333333333333,25
18,0.6428571428571429,0.75,0.42857142857142855,0.5454545454545454,26
19,0.8461538461538461,1.0,0.5,0.6666666666666666,28
20,0.9285714285714286,1.0,0.75,0.8571428571428571,29
21,0.8571428571428571,0.6,1.0,0.7499999999999999,30
22,0.6923076923076923,1.0,0.2,0.33333333333333337,31
23,0.7692307692307693,0.5,0.3333333333333333,0.4,32
24,0.7142857142857143,0.5,0.75,0.6,33
