,Accuracy,Precision,Recall,F1-Score,Participant
0,0.8571428571428571,0.6666666666666666,1.0,0.8,1
1,1.0,1.0,1.0,1.0,2
2,1.0,1.0,1.0,1.0,3
3,1.0,1.0,1.0,1.0,4
4,1.0,1.0,1.0,1.0,5
5,0.8571428571428571,1.0,0.5,0.6666666666666666,6
6,0.8571428571428571,1.0,0.5,0.6666666666666666,7
7,1.0,1.0,1.0,1.0,8
8,1.0,1.0,1.0,1.0,12
9,0.875,1.0,0.5,0.6666666666666666,13
10,0.8571428571428571,0.6666666666666666,1.0,0.8,14
11,0.8571428571428571,1.0,0.5,0.6666666666666666,17
12,1.0,1.0,1.0,1.0,20
13,1.0,1.0,1.0,1.0,21
14,1.0,1.0,1.0,1.0,22
15,1.0,1.0,1.0,1.0,23
16,0.8333333333333334,0.5,1.0,0.6666666666666666,24
17,1.0,1.0,1.0,1.0,25
18,0.8571428571428571,1.0,0.5,0.6666666666666666,26
19,1.0,1.0,1.0,1.0,28
20,1.0,1.0,1.0,1.0,29
21,1.0,1.0,1.0,1.0,30
22,1.0,1.0,1.0,1.0,31
23,1.0,1.0,1.0,1.0,32
24,1.0,1.0,1.0,1.0,33
