,Accuracy,Precision,Recall,F1-Score,Participant
0,1.0,1.0,1.0,1.0,1
1,1.0,1.0,1.0,1.0,2
2,0.9,1.0,0.6666666666666666,0.8,3
3,1.0,1.0,1.0,1.0,4
4,1.0,1.0,1.0,1.0,5
5,0.9,1.0,0.6666666666666666,0.8,6
6,0.9,1.0,0.6666666666666666,0.8,7
7,1.0,1.0,1.0,1.0,8
8,1.0,1.0,1.0,1.0,12
9,1.0,1.0,1.0,1.0,13
10,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,14
11,0.9,1.0,0.6666666666666666,0.8,17
12,1.0,1.0,1.0,1.0,20
13,1.0,1.0,1.0,1.0,21
14,0.9090909090909091,0.8,1.0,0.888888888888889,22
15,1.0,1.0,1.0,1.0,23
16,0.8888888888888888,0.6666666666666666,1.0,0.8,24
17,1.0,1.0,1.0,1.0,25
18,1.0,1.0,1.0,1.0,26
19,1.0,1.0,1.0,1.0,28
20,1.0,1.0,1.0,1.0,29
21,1.0,1.0,1.0,1.0,30
22,1.0,1.0,1.0,1.0,31
23,1.0,1.0,1.0,1.0,32
24,1.0,1.0,1.0,1.0,33
