,Accuracy,Precision,Recall,F1-Score,Participant
0,0.9,0.8,1.0,0.888888888888889,4.0
1,0.9,1.0,0.75,0.8571428571428571,5.0
2,0.5,0.4,0.5,0.4444444444444445,6.0
3,0.9,0.8333333333333334,1.0,0.9090909090909091,7.0
4,0.8,1.0,0.6,0.7499999999999999,8.0
5,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143,9.0
6,0.7,0.75,0.6,0.6666666666666665,11.0
7,0.6,0.5714285714285714,0.8,0.6666666666666666,12.0
8,0.7777777777777778,0.8,0.8,0.8000000000000002,13.0
9,0.6,0.8,0.5714285714285714,0.6666666666666666,16.0
10,0.7777777777777778,0.8,0.8,0.8000000000000002,19.0
11,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,20.0
12,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307692,21.0
13,0.7,1.0,0.5,0.6666666666666666,22.0
14,0.9,0.8333333333333334,1.0,0.9090909090909091,23.0
15,1.0,1.0,1.0,1.0,24.0
16,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272,26.0
17,0.8,1.0,0.6666666666666666,0.8,27.0
18,0.8888888888888888,1.0,0.8,0.888888888888889,28.0
19,0.6,0.8,0.5714285714285714,0.6666666666666666,29.0
20,0.3333333333333333,0.5,0.5,0.5,30.0
21,0.6,0.6,0.6,0.6,31.0
22,0.8,0.6666666666666666,1.0,0.8,32.0
23,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,33.0
24,0.7777777777777778,0.8,0.8,0.8000000000000002,34.0
25,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,35.0
