,Accuracy,Precision,Recall,F1-Score,Participant
0,0.8,0.8,0.8,0.8000000000000002,4
1,1.0,1.0,1.0,1.0,5
2,0.7,0.625,1.0,0.7692307692307693,6
3,1.0,1.0,1.0,1.0,7
4,0.4,0.0,0.0,0.0,8
5,0.8,0.7142857142857143,1.0,0.8333333333333333,9
6,0.9,0.8333333333333334,1.0,0.9090909090909091,11
7,0.7,0.625,1.0,0.7692307692307693,12
8,0.875,0.75,1.0,0.8571428571428571,13
9,0.7,0.6666666666666666,0.8,0.7272727272727272,16
10,0.8888888888888888,1.0,0.8,0.888888888888889,19
11,0.8,0.8,0.8,0.8000000000000002,20
12,0.9,1.0,0.8,0.888888888888889,21
13,0.6,1.0,0.2,0.33333333333333337,22
14,0.9,1.0,0.8,0.888888888888889,23
15,1.0,1.0,1.0,1.0,24
16,1.0,1.0,1.0,1.0,26
17,1.0,1.0,1.0,1.0,27
18,1.0,1.0,1.0,1.0,28
19,0.6,0.5714285714285714,0.8,0.6666666666666666,29
20,0.3333333333333333,0.3333333333333333,0.2,0.25,30
21,0.4,0.4,0.4,0.4000000000000001,31
22,0.9,0.8333333333333334,1.0,0.9090909090909091,32
23,0.9,0.8333333333333334,1.0,0.9090909090909091,33
24,0.7777777777777778,0.6666666666666666,1.0,0.8,34
25,0.9,0.8333333333333334,1.0,0.9090909090909091,35
