,Accuracy,Precision,Recall,F1-Score,Participant
0,1.0,1.0,1.0,1.0,4
1,1.0,1.0,1.0,1.0,5
2,1.0,1.0,1.0,1.0,6
3,1.0,1.0,1.0,1.0,7
4,0.5,0.0,0.0,0.0,8
5,0.6666666666666666,0.6,1.0,0.7499999999999999,9
6,0.5,0.5,0.3333333333333333,0.4,11
7,0.8333333333333334,0.75,1.0,0.8571428571428571,12
8,0.8,0.6666666666666666,1.0,0.8,13
9,0.5,0.5,0.6666666666666666,0.5714285714285715,16
10,1.0,1.0,1.0,1.0,19
11,1.0,1.0,1.0,1.0,20
12,1.0,1.0,1.0,1.0,21
13,1.0,1.0,1.0,1.0,22
14,1.0,1.0,1.0,1.0,23
15,0.8,0.6666666666666666,1.0,0.8,24
16,1.0,1.0,1.0,1.0,26
17,1.0,1.0,1.0,1.0,27
18,1.0,1.0,1.0,1.0,28
19,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,29
20,0.4,0.5,0.3333333333333333,0.4,30
21,0.5,0.5,0.6666666666666666,0.5714285714285715,31
22,1.0,1.0,1.0,1.0,32
23,1.0,1.0,1.0,1.0,33
24,1.0,1.0,1.0,1.0,34
25,0.8333333333333334,0.75,1.0,0.8571428571428571,35
