,Accuracy,Precision,Recall,F1-Score,Participant
0,0.9,0.8333333333333334,1.0,0.9090909090909091,4
1,1.0,1.0,1.0,1.0,5
2,0.7,0.75,0.6,0.6666666666666665,6
3,1.0,1.0,1.0,1.0,7
4,0.4,0.0,0.0,0.0,8
5,0.6,0.5714285714285714,0.8,0.6666666666666666,9
6,0.8,0.8,0.8,0.8000000000000002,11
7,0.8,0.7142857142857143,1.0,0.8333333333333333,12
8,0.875,0.75,1.0,0.8571428571428571,13
9,0.5,0.5,0.8,0.6153846153846154,16
10,1.0,1.0,1.0,1.0,19
11,0.8,0.8,0.8,0.8000000000000002,20
12,0.8,0.8,0.8,0.8000000000000002,21
13,0.8,1.0,0.6,0.7499999999999999,22
14,0.9,1.0,0.8,0.888888888888889,23
15,1.0,1.0,1.0,1.0,24
16,1.0,1.0,1.0,1.0,26
17,0.9,0.8333333333333334,1.0,0.9090909090909091,27
18,1.0,1.0,1.0,1.0,28
19,0.6,0.6,0.6,0.6,29
20,0.2222222222222222,0.25,0.2,0.22222222222222224,30
21,0.4,0.3333333333333333,0.2,0.25,31
22,0.9,0.8333333333333334,1.0,0.9090909090909091,32
23,0.9,1.0,0.8,0.888888888888889,33
24,0.7777777777777778,0.6666666666666666,1.0,0.8,34
25,0.9,0.8333333333333334,1.0,0.9090909090909091,35
